phase,date,species,alive,block,lat,long,trap_site,treatment,arm,trap_type,trap_position,fence_colour,recapture,site_of_first_capture,size_class,truncated_tail
pre-treatment,2005-10-17,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,3,funnel,5,black,no,NA,adult,NA
pre-treatment,2005-10-17,Trachylepis capensis,alive,4,-26.542333333333332,28.2002,6A,NA,2,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-10-17,Trachylepis varia,alive,4,-26.542333333333332,28.2002,6A,NA,2,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-10-17,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,NA,2,funnel,3,blue,no,NA,juvenile,yes
pre-treatment,2005-10-18,Trachylepis capensis,alive,1,-26.4976,28.2914,13B,NA,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-18,Psammophylax rhombeatus,alive,1,-26.504683333333332,28.2903,13C,NA,1,funnel,2,blue,NA,NA,adult,NA
pre-treatment,2005-10-18,Hemachatus haemachatus,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2005-10-18,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,NA,3,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-18,Lamprophis aurora,alive,4,-26.547416666666667,28.207066666666666,6C,NA,2,funnel,4,black,NA,NA,adult,NA
pre-treatment,2005-10-19,Trachylepis varia,alive,4,-26.547416666666667,28.207066666666666,6C,NA,2,funnel,3,blue,no,NA,adult,NA
pre-treatment,2005-10-20,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,3,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-10-20,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-21,Psammophis crucifer,alive,1,-26.4976,28.2914,13B,NA,1,funnel,2,black,NA,NA,adult,NA
